time,ball_loc_x,ball_loc_y,ball_loc_z,ball_rot_x,ball_rot_y,ball_rot_z,ball_rot_w,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_x,ball_ang_y,ball_ang_z,player0_throttle,player0_steer,player0_pitch,player0_yaw,player0_roll,player0_jump,player0_boost,player0_handbrake,player0_loc_x,player0_loc_y,player0_loc_z,player0_rot_x,player0_rot_y,player0_rot_z,player0_rot_w,player0_vel_x,player0_vel_y,player0_vel_z,player0_ang_x,player0_ang_y,player0_ang_z
11.708333,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,0,0,0,0,0,false,false,false,0,0.14999999,17.01,-0.00336905,0.0033798397,0.7071014,0.7070959,0,0,8.321,-0.00051,0,0
11.716666,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,0.14999999,17.01,-0.00336905,0.0033798397,0.7071014,0.7070959,0,13.331,8.321,0.00021,0,0
11.725,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,0.26,17.01,-0.00336905,0.0033798397,0.7071014,0.7070959,0,26.550999,8.321,0.00061,0,0
11.733334,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,0.48,17.01,-0.00336905,0.0033798397,0.7071014,0.7070959,0,39.650997,8.321,0.00081,0,0
11.741667,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,0.81,17.01,-0.00336905,0.0033798397,0.7071014,0.7070959,0,52.641,8.321,0.00091,0,0
11.75,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,1.25,17.01,-0.0033636556,0.00337984,0.70710146,0.707096,0,65.520996,8.321,0.0010099999,0,0
11.758333,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,1.8,17.01,-0.0033582605,0.003374445,0.7071015,0.7070959,0,78.291,8.321,0.0010099999,0,0
11.766666,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,2.45,17.01,-0.0033528658,0.00336905,0.7071016,0.7070959,0,90.951,8.321,0.00091,0,0
11.775,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,3.21,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,103.501,8.321,0.00071,0,0
11.783334,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,4.0699997,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,115.940994,8.321,0.00061,-0.00010999999,0
11.791667,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,5.04,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,128.281,8.321,0.00051,-0.00010999999,0
11.8,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,6.1099997,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,140.511,8.321,0.00051,-0.00010999999,0
11.808333,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,7.2799997,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,152.641,8.321,0.00051,-0.00010999999,0
11.816667,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,8.55,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,164.66101,8.321,0.00051,-0.00010999999,0
11.825,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,9.92,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,176.58101,8.321,0.00040999998,-0.00010999999,0
11.833333,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,11.389999,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,188.401,8.321,0.00040999998,-0.00010999999,0
11.841666,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,12.96,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,200.11101,8.321,0.00040999998,-0.00010999999,0
11.85,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,14.63,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,211.72101,8.321,0.00040999998,-0.00010999999,0
11.858334,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,16.39,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,223.231,8.321,0.00040999998,-0.00010999999,0
11.866667,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,18.25,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,234.651,8.321,0.00040999998,-0.00010999999,0
11.875,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,20.21,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,245.97101,8.321,0.00040999998,-0.00010999999,0
11.883333,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,22.26,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,257.191,8.321,0.00040999998,-0.00010999999,0
11.891666,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,24.4,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,268.321,8.321,0.00030999997,-0.00010999999,0
11.9,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,26.64,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,279.351,8.321,0.00030999997,-0.00010999999,0
11.908334,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,28.97,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,290.29102,8.321,0.00030999997,-0.00010999999,0
11.916667,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,31.39,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,301.131,8.321,0.00030999997,-0.00010999999,0
11.925,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,33.899998,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,311.881,8.321,0.00030999997,-0.00010999999,0
11.933333,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,36.5,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,322.541,8.321,0.00030999997,-0.00010999999,0
11.941667,2000,0,91.24,0.000002697398,0.000002697398,0.000002697398,0.99999994,0,0,0,0,0,0,1,0,0,0,0,false,false,false,0,39.19,17.01,-0.003347471,0.00336905,0.7071016,0.7070959,0,333.101,8.321,0.00030999997,-0.00010999999,0
